	"County of Residence"	"County of Residence Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Year"	"Year Code"	Births
	"Baldwin County, AL"	"01003"	"15-19 years"	"15-19"	"2022"	"2022"	120
	"Calhoun County, AL"	"01015"	"15-19 years"	"15-19"	"2022"	"2022"	76
	"Etowah County, AL"	"01055"	"15-19 years"	"15-19"	"2022"	"2022"	91
	"Houston County, AL"	"01069"	"15-19 years"	"15-19"	"2022"	"2022"	105
	"Jefferson County, AL"	"01073"	"15-19 years"	"15-19"	"2022"	"2022"	390
	"Lee County, AL"	"01081"	"15-19 years"	"15-19"	"2022"	"2022"	83
	"Madison County, AL"	"01089"	"15-19 years"	"15-19"	"2022"	"2022"	173
	"Mobile County, AL"	"01097"	"15-19 years"	"15-19"	"2022"	"2022"	308
	"Montgomery County, AL"	"01101"	"15-19 years"	"15-19"	"2022"	"2022"	182
	"Morgan County, AL"	"01103"	"15-19 years"	"15-19"	"2022"	"2022"	98
	"Shelby County, AL"	"01117"	"15-19 years"	"15-19"	"2022"	"2022"	75
	"Tuscaloosa County, AL"	"01125"	"15-19 years"	"15-19"	"2022"	"2022"	146
	"Unidentified Counties, AL"	"01999"	"15-19 years"	"15-19"	"2022"	"2022"	1598
	"Anchorage Borough, AK"	"02020"	"15-19 years"	"15-19"	"2022"	"2022"	83
	"Unidentified Counties, AK"	"02999"	"15-19 years"	"15-19"	"2022"	"2022"	274
	"Cochise County, AZ"	"04003"	"15-19 years"	"15-19"	"2022"	"2022"	81
	"Coconino County, AZ"	"04005"	"15-19 years"	"15-19"	"2022"	"2022"	55
	"Maricopa County, AZ"	"04013"	"15-19 years"	"15-19"	"2022"	"2022"	2059
	"Mohave County, AZ"	"04015"	"15-19 years"	"15-19"	"2022"	"2022"	112
	"Navajo County, AZ"	"04017"	"15-19 years"	"15-19"	"2022"	"2022"	85
	"Pima County, AZ"	"04019"	"15-19 years"	"15-19"	"2022"	"2022"	446
	"Pinal County, AZ"	"04021"	"15-19 years"	"15-19"	"2022"	"2022"	254
	"Yavapai County, AZ"	"04025"	"15-19 years"	"15-19"	"2022"	"2022"	91
	"Yuma County, AZ"	"04027"	"15-19 years"	"15-19"	"2022"	"2022"	193
	"Unidentified Counties, AZ"	"04999"	"15-19 years"	"15-19"	"2022"	"2022"	182
	"Benton County, AR"	"05007"	"15-19 years"	"15-19"	"2022"	"2022"	152
	"Faulkner County, AR"	"05045"	"15-19 years"	"15-19"	"2022"	"2022"	72
	"Pulaski County, AR"	"05119"	"15-19 years"	"15-19"	"2022"	"2022"	273
	"Saline County, AR"	"05125"	"15-19 years"	"15-19"	"2022"	"2022"	54
	"Sebastian County, AR"	"05131"	"15-19 years"	"15-19"	"2022"	"2022"	92
