"County","State","Births","female_15_19_population","birth_rate"
"Baldwin County","AL",120,6812,17.62
"Calhoun County","AL",76,3973,19.13
"Etowah County","AL",91,3060,29.74
"Houston County","AL",105,3214,32.67
"Jefferson County","AL",390,21384,18.24
"Lee County","AL",83,7699,10.78
"Madison County","AL",173,12327,14.03
"Mobile County","AL",308,13184,23.36
"Montgomery County","AL",182,7356,24.74
"Morgan County","AL",98,3735,26.24
"Shelby County","AL",75,7361,10.19
"Tuscaloosa County","AL",146,9774,14.94
"Unidentified Counties","AL",1598,NA,NA
"Anchorage Borough","AK",83,NA,NA
"Unidentified Counties","AK",274,NA,NA
"Cochise County","AZ",81,3613,22.42
"Coconino County","AZ",55,9885,5.56
"Maricopa County","AZ",2059,144840,14.22
"Mohave County","AZ",112,4815,23.26
"Navajo County","AZ",85,3753,22.65
"Pima County","AZ",446,34205,13.04
"Pinal County","AZ",254,12076,21.03
"Yavapai County","AZ",91,5424,16.78
"Yuma County","AZ",193,6971,27.69
"Unidentified Counties","AZ",182,NA,NA
"Benton County","AR",152,9640,15.77
"Faulkner County","AR",72,4998,14.41
"Pulaski County","AR",273,11732,23.27
"Saline County","AR",54,3631,14.87
"Sebastian County","AR",92,4162,22.1
"Washington County","AR",198,9830,20.14
"Unidentified Counties","AR",1599,NA,NA
"Alameda County","CA",308,47473,6.49
"Butte County","CA",69,7893,8.74
"Contra Costa County","CA",232,36718,6.32
"El Dorado County","CA",27,5253,5.14
"Fresno County","CA",618,36567,16.9
"Humboldt County","CA",34,4608,7.38
"Imperial County","CA",116,6720,17.26
"Kern County","CA",679,33327,20.37
"Kings County","CA",101,5040,20.04
"Los Angeles County","CA",2515,310283,8.11
"Madera County","CA",113,5380,21
"Marin County","CA",28,7726,3.62
"Merced County","CA",219,12109,18.09
"Monterey County","CA",293,16132,18.16
"Napa County","CA",18,4484,4.01
"Orange County","CA",654,101667,6.43
"Placer County","CA",48,12104,3.97
"Riverside County","CA",950,86792,10.95
"Sacramento County","CA",459,48068,9.55
"San Bernardino County","CA",994,76863,12.93
"San Diego County","CA",731,99193,7.37
"San Francisco County","CA",88,16254,5.41
"San Joaquin County","CA",370,27926,13.25
"San Luis Obispo County","CA",56,11033,5.08
"San Mateo County","CA",107,19923,5.37
"Santa Barbara County","CA",352,19830,17.75
"Santa Clara County","CA",311,57275,5.43
"Santa Cruz County","CA",72,11889,6.06
"Shasta County","CA",69,5081,13.58
"Solano County","CA",124,13154,9.43
"Sonoma County","CA",120,14803,8.11
"Stanislaus County","CA",312,19681,15.85
"Tulare County","CA",384,19010,20.2
"Ventura County","CA",272,27978,9.72
"Yolo County","CA",57,11493,4.96
"Unidentified Counties","CA",379,NA,NA
"Adams County","CO",263,17363,15.15
"Arapahoe County","CO",216,19766,10.93
"Boulder County","CO",53,12960,4.09
"Denver County","CO",279,17288,16.14
"Douglas County","CO",35,12631,2.77
"El Paso County","CO",329,23218,14.17
"Jefferson County","CO",100,15667,6.38
"Larimer County","CO",70,12769,5.48
"Mesa County","CO",86,4922,17.47
"Pueblo County","CO",98,5489,17.85
"Weld County","CO",184,11808,15.58
"Unidentified Counties","CO",291,NA,NA
"Fairfield County","CT",190,33110,5.74
"Hartford County","CT",212,28521,7.43
"Litchfield County","CT",14,5149,2.72
"Middlesex County","CT",10,5092,1.96
"New Haven County","CT",270,29325,9.21
"New London County","CT",51,7977,6.39
"Tolland County","CT",13,7230,1.8
"Windham County","CT",24,4048,5.93
"Kent County","DE",88,6309,13.95
"New Castle County","DE",235,19119,12.29
"Sussex County","DE",143,5428,26.34
"District of Columbia","DC",240,NA,NA
"Alachua County","FL",96,12360,7.77
"Bay County","FL",89,4752,18.73
"Brevard County","FL",166,15493,10.71
"Broward County","FL",472,55053,8.57
"Charlotte County","FL",41,3377,12.14
"Citrus County","FL",55,2932,18.76
"Clay County","FL",97,7165,13.54
"Collier County","FL",165,8783,18.79
"Duval County","FL",556,27815,19.99
"Escambia County","FL",229,9917,23.09
"Hernando County","FL",84,4956,16.95
"Hillsborough County","FL",638,44437,14.36
"Indian River County","FL",50,3342,14.96
"Lake County","FL",143,9665,14.8
"Lee County","FL",286,18879,15.15
"Leon County","FL",108,14519,7.44
"Manatee County","FL",202,9316,21.68
"Marion County","FL",199,9233,21.55
"Martin County","FL",43,3535,12.16
"Miami-Dade County","FL",688,76884,8.95
"Okaloosa County","FL",87,5363,16.22
"Orange County","FL",537,46628,11.52
"Osceola County","FL",164,13205,12.42
"Palm Beach County","FL",516,40199,12.84
"Pasco County","FL",202,15309,13.19
"Pinellas County","FL",263,21552,12.2
"Polk County","FL",459,22042,20.82
"St. Johns County","FL",31,8152,3.8
"St. Lucie County","FL",133,8623,15.42
"Santa Rosa County","FL",71,5164,13.75
"Sarasota County","FL",81,9174,8.83
"Seminole County","FL",103,13827,7.45
"Volusia County","FL",242,14187,17.06
"Unidentified Counties","FL",843,NA,NA
"Bartow County","GA",52,3351,15.52
"Bibb County","GA",158,5546,28.49
"Carroll County","GA",106,5117,20.72
"Chatham County","GA",172,10306,16.69
"Cherokee County","GA",83,8940,9.28
"Clarke County","GA",59,8635,6.83
"Clayton County","GA",182,10912,16.68
"Cobb County","GA",249,25599,9.73
"Columbia County","GA",44,5063,8.69
"Coweta County","GA",65,4964,13.09
"DeKalb County","GA",399,22317,17.88
"Douglas County","GA",80,5232,15.29
"Fayette County","GA",32,4497,7.12
"Forsyth County","GA",37,9082,4.07
"Fulton County","GA",407,35996,11.31
"Gwinnett County","GA",388,35663,10.88
